Date/Time,PICA-3102,PICA-3102MV,PICA-3130,FICA-3326,FICA-3122,FICA-3113,FICA-3141,TICA-3123,TICA-3125,S3119 ,S3129
7/10/2021 11:00,0.79,34.44,0.44,2122.32,0.05,5918.02,3295.21,97.04,83.03,0.05,1926.58
31/1/2022 11:00,0.85,26.69,0.45,1839.48,0.01,5892.48,3203.54,104.13,84.58,0.05,2591.94
2/10/2021 19:00,0.8,34.07,0.45,2113.46,0.01,5476.74,3168.52,97.69,80.38,0.05,1710.33
2/2/2022 3:00,0.77,37.13,0.43,1730.73,-0.02,2583.44,2588.73,110.14,85.57,0.05,3734.38
1/2/2022 19:00,0.83,47.17,0.39,1774.29,0.05,6352.28,3280.36,110.96,97.19,0.05,24809.42
3/10/2021 19:00,0.8,32.83,0.45,2064.79,0.01,5517.47,3124.4,102.03,82.21,0.05,2601.9
22/12/2021 11:00,0.85,31.46,0.45,2113.61,0.01,5145.12,3204.14,95.4,80.98,0.05,2519.65
3/10/2021 11:00,0.8,32.45,0.45,2078.16,0.01,5699.88,2901.58,91.85,81.4,0.05,1673.96
29/1/2022 19:00,0.85,33.1,0.45,1968.06,0.05,6197.73,3146.64,89.76,81.56,0.05,415.67
31/12/2021 3:00,0.83,30.13,0.45,2081.92,0.01,6168.36,3775.44,91.5,83.36,0.05,3703.42
25/1/2022 11:00,0.85,31.41,0.45,1909.48,0.05,6047.36,3294.61,89.74,81.5,0.06,3521.96
2/1/2022 3:00,0.8,32.28,0.43,2085.67,0.01,5930.03,3642.74,91.19,82.9,0.06,6027.46
22/1/2022 3:00,0.88,37.69,0.47,1878.09,-0.02,4160.61,2997.72,89.15,77.78,0.06,6565.44
31/12/2021 11:00,0.82,30.22,0.45,2081.31,-0.02,6106.61,3775.44,90.34,81.81,0.06,2630.73
25/1/2022 19:00,0.86,31.21,0.46,1867.72,0.05,5871.62,3318.04,94.16,82.53,0.06,2344.91
31/1/2022 19:00,0.85,27.21,0.45,1894.61,0.05,6008.64,3200.62,93.86,82.88,0.06,2209.04
27/1/2022 19:00,0.85,31.27,0.45,2133.14,0.05,5967.58,3107.5,91.37,81.04,0.06,2725.8
24/1/2022 19:00,0.85,32,0.45,2038.36,0.01,5798.85,2997.72,92.55,81.79,0.07,4796.62
3/1/2022 11:00,0.83,31.77,0.45,2103.39,0.05,6327.74,3535.02,90.57,82.92,0.07,3864.17
28/1/2022 3:00,0.86,30.78,0.45,1831.82,0.05,5951.9,3102.26,94.95,82.08,0.07,2900.77
26/1/2022 11:00,0.92,25.62,0.42,1938.92,0.05,5978.1,3357.01,104.56,83.89,0.07,1305.46
3/10/2021 3:00,0.8,33.52,0.45,2116.91,-0.02,5611.1,2914.29,105.38,83.07,0.07,2921.65
30/1/2022 19:00,0.85,28.68,0.45,1843.84,0.05,5990.78,3494.34,89.82,81.27,0.07,816.55
1/1/2022 19:00,0.85,29.92,0.46,2108.8,-0.02,5940.21,3307.66,91.7,84.29,0.07,3752.28
22/1/2022 11:00,0.85,35.54,0.45,1903.17,0.01,5491.1,3583.35,90.98,81.29,0.07,69327.53
3/1/2022 19:00,0.82,32.48,0.42,2043.31,-0.02,5674.51,3367.57,97.97,83.11,0.07,738.97
5/10/2021 3:00,0.8,32.08,0.44,2097.54,-0.02,6430.89,3095.48,91.42,81.81,0.07,2467.89
28/12/2021 19:00,0.84,29.97,0.45,2095.58,0.05,6286.85,3492.62,93.94,84.37,0.08,4013.37
24/12/2021 11:00,0.82,30.42,0.45,2103.85,0.05,5830.9,3405.93,92.06,82.25,0.08,4396.97
9/10/2021 11:00,0.79,27.85,0.43,2113.91,0.01,5510.46,3191.61,110.11,84.95,0.08,50460.19
25/12/2021 19:00,0.82,31.18,0.44,2096.94,0.01,5643.14,3454.43,92.6,82.69,0.08,1852.32
30/1/2022 3:00,0.87,31.32,0.46,1858.11,0.01,6002.46,3149.73,96.1,83.46,0.08,2276.99
1/1/2022 3:00,0.82,30.56,0.45,2096.49,-0.02,5913.51,3775.44,91.07,83.67,0.08,3078.68
25/12/2021 11:00,0.82,30.63,0.45,2130.58,0.01,5712.23,3422.67,91.61,82.32,0.08,2974.62
29/12/2021 3:00,0.83,29.7,0.45,2059.83,0.01,6173.53,3504.47,90.33,83.67,0.08,2573.66
8/10/2021 11:00,0.8,30.83,0.45,2106.85,0.01,5836.07,3108.61,91.42,82.13,0.08,4178.6
28/1/2022 11:00,0.84,31.41,0.45,2192.92,0.05,6484.29,3091.53,90.28,80.73,0.09,6822.24
23/1/2022 3:00,0.87,32.85,0.46,2054.73,0.05,6334.25,3070.33,100.37,82.2,0.09,3715.73
6/10/2021 3:00,0.8,34.01,0.44,2098.44,0.01,5995.79,3039.17,107.42,83.47,0.09,2021.95
29/12/2021 19:00,0.83,29.61,0.45,2097.09,0.01,6196.06,3504.9,90.38,83.64,0.09,12442.71
31/12/2021 19:00,0.83,29.9,0.45,2081.01,-0.02,5951.73,3683.34,92.47,84.34,0.09,2209.63
27/1/2022 3:00,0.78,19.48,0.44,1925.25,0.05,5944.72,3152.47,102.49,100.06,0.09,2700.48
30/12/2021 19:00,0.83,29.52,0.44,2096.64,-0.02,6039.52,3549.96,91.81,83.98,0.09,4722.03
27/12/2021 3:00,0.84,30.64,0.45,2096.49,0.01,5627.45,3345.34,90.79,82.33,0.09,3789.58
2/1/2022 19:00,0.84,28.02,0.45,2115.86,0.05,5829.39,3527.47,101.32,85.08,0.09,3192.06
1/2/2022 3:00,0.85,27.45,0.45,2075.01,0.05,5887.64,3298.82,90.9,81.55,0.09,1823.3
2/10/2021 3:00,0.82,33.72,0.47,2094.53,0.01,6491.97,3113.68,89.68,80.48,0.1,1532.9
23/12/2021 3:00,0.85,30.53,0.45,2099.19,0.01,5606.25,3307.74,98.55,81.9,0.1,1261.82
24/12/2021 3:00,0.82,30.17,0.41,2097.24,0.01,5449.87,3308.43,87.34,80.66,0.1,3052.9
24/1/2022 11:00,0.86,29.99,0.45,1842.79,0.05,5975.59,3198.82,90.51,81.71,0.1,8634.33
9/10/2021 3:00,0.79,31.78,0.45,2102.64,0.01,5256.11,2835.24,104.07,90.89,0.1,3120.64
30/9/2021 19:00,0.82,32.66,0.46,2149.36,-0.02,6473.78,3296.84,89.61,81.37,0.1,21144.41
25/12/2021 3:00,0.82,31.01,0.45,2103.39,0.01,5723.42,3457.52,89.7,81.11,0.1,8965.5
26/12/2021 11:00,0.82,30.42,0.45,2085.07,0.05,5601.58,3437,100.62,83.66,0.1,1953.02
29/1/2022 11:00,0.84,32.04,0.45,1891.75,0.05,6016.15,3103.29,92.75,83.07,0.1,1696.41
30/1/2022 11:00,0.84,31.54,0.45,1896.41,0.05,6023.33,3150.24,97.27,83.57,0.1,3177.48
1/10/2021 11:00,0.79,31.16,0.45,2142.75,-0.02,6810.07,3126.21,94.76,81.38,0.1,2122.39
